WaterbodyCode,WaterbodyName,WaterbodyType,Region,LA,CombinedCatchment,Cycle2AfA,Cycle3AfA,Cycle3Lead,DraftEO3,Cycle3Risk,Status2010_2015,Status2013_2018,Status2016_2021,Driver,ESTechnique,AchieveEO2010_2015,AchieveEO2013_2018,AchieveEO2016_2021,StatusChange,ClassChange,StatusReversal,EOChange,ClassChange18_21,Issues,PressureCount,Pressures,Abstractions,Agriculture,Anthropogenic Pressures,Aquaculture,Atmospheric,Domestic Waste Water,Forestry,Historically Polluted Sites,Hydromorphology,Industry,Invasive Species,Mines Quarries,Other Anthropogenic Pressures,Peat.x,Urban Run-off,Urban Waste Water,Waste,Water Treatment,P_Rank_1_3_v3R1,N_Rank_1_3_v3R1,DM1,DM2,Catchment,Area_ha,P_Wastewater,P_Other_licenced_discharges,P_Diffuse_Urban,P_Septi_ Tanks,P_Pasture,P_Arable,P_Forestry,P_Peat,P_Deposition,P_Total_kgYr,P_Urban_2018,Alluvium,Imperfect,Made,Peat.y,Poor,VeryPoor,Water,Well,Total,EOAssessment,ResponseCategory
GBNI4NB009,Newry,Groundwater,Borders,Louth CoCo,6,,,,Good,At risk,Good,Poor,Good,,,Achieved,Not Achieved,Achieved,Improved,2,Yes,Now Achieving,2,"ChemicalQualityDiminutionForSW, Nutrients",1,Anthropogenic Pressures,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Decline - Reversed,Improvement - Major
GBNI4NW003,Claudy,Groundwater,Borders,Donegal CoCo,1,,,,Good,Not at risk,Good,Good,Poor,,,Achieved,Achieved,Not Achieved,Declined,2,No,No longer Achieving,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Decline - Significant,Decline - Major
GBNI4NW008,Ederney,Groundwater,Borders,Donegal CoCo,36,,,,Good,Not at risk,Good,Good,Good,,,Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently achieving objective,Persistently Good or Better
GBNI4NW020,Belcoo Boho,Groundwater,Borders,Cavan CoCo,36,,,,Good,At risk,Good,Poor,Good,,,Achieved,Not Achieved,Achieved,Improved,2,Yes,Now Achieving,2,"Chemical, ChemicalQualityDiminutionForSW",1,Anthropogenic Pressures,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Decline - Reversed,Improvement - Major
GBNI4NW022,Florence Court- Drumgormley,Groundwater,Borders,Cavan CoCo,36,,,,Good,Not at risk,Good,Good,Good,,,Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently achieving objective,Persistently Good or Better
GBNIIE6NB010,Portstewart Bay,Coastal,Borders,NIEA,40,,,,Good,Review,Unassigned,Unassigned,Unassigned,,,Cannot Assess,Cannot Assess,Cannot Assess,Cannot Assess,Cannot Assess,No,Cannot Assess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Gap,Data Gap
GBNIIE6NB020,Mourne Coast,Coastal,Borders,NIEA,6,,,,Good,Review,Unassigned,Unassigned,Unassigned,,,Cannot Assess,Cannot Assess,Cannot Assess,Cannot Assess,Cannot Assess,No,Cannot Assess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Gap,Data Gap
GBNIIE6NB030,Carlingford Lough,Coastal,Borders,NIEA,6,,,,Good,Review,Unassigned,Moderate,Unassigned,,,Cannot Assess,Not Achieved,Cannot Assess,Cannot Assess,Cannot Assess,No,Cannot Assess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Gap,Data Gap
GBNIIE6NW250,Lough Foyle,Coastal,Borders,NIEA,40,,,,Good,Review,Unassigned,Good,Unassigned,,,Cannot Assess,Achieved,Cannot Assess,Cannot Assess,Cannot Assess,No,Cannot Assess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Gap,Data Gap
IE_07_AWB_GCMLW,Grand Canal Main Line (Boyne),Canal,Midlands and East,Meath CoCo,7,,,,Good,Not at risk,Good,Good,Good,,Monitoring,Achieved,Achieved,Achieved,No Change,No Assessed Change,No,Still Achieving,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consistently achieving objective,Persistently Good or Better
